Timestamp,Your Gender,Your Sexual Orientation,Your age,What country are You from?,How often do You play computer games,And for how long do Your gaming sessions usually last,Your favourite video game genre,Your favourite game(May write several),What other interests do You hold(You can choose multiple and write any others in Other),Your overall view on seeing sexual themes in the game(What is you reaction on seeing sexual themes in a game),Your view on sexualisation of the character design(Your reaction on seeing (overly)sexual character design),Any specific things that you usually LIKE in character designs,Any specific things that you usually DISLIKE in character designs,Your view on sexual sub-context in video games- themes around sex and similar,"If you dislike the (over)use of sexual sub-content, would you be okay if it's explained logically, tied to the story(And-Or if it exists for more reasons than just for marketing and-or similar)",Are you okay with LGBT+ characters in video games,Anything to add to the theme? Your personal thoughts. 
04/01/2021 20:52:17,Male,Bisexual,16-20,France ,Every day,0-4 hours,Strategy,"Stellaris, terraria, war thunder ","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Neutral,5,When thing are coherent and following the lore s logique ,When thing are trashy without any reason behind that: if a girl is a knight and she is fighting in bikini while others are fighting in full armor and she dosn t have a special ability that raise her skin projective power ,5,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 20:52:56,Prefer not to say,Bisexual,16-20,The Netherlands ,Every day,5-8 hours,Survival,Minecraft,"Anime, Manga, Japanese(Or similar) Light Novels",Neutral,3,"Uniqueness, relatability ",Pandering to demographics ,4,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 20:54:26,Male,Heterosexual,More than 35,Germany,Every day,5-8 hours,Multiplayer RPGs,Path of Exile,Music,Sometimes positive,5,,Character Models being too big,4,,Maybe/Neutral,
04/01/2021 20:55:32,Male,Heterosexual,27-35,USA,Several times a week,0-4 hours,Strategy,"All time: Natural Selection (HL mod), currently: NieR: Automata","Books(Non asian), Films and TV series, Anime, Manga",Sometimes positive,5,,,5,Maybe,"Yes, in any way they appear there",Eye candy is nice but no replacement for an actual game
04/01/2021 20:55:52,Male,Heterosexual,16-20,7u,Once- or twice a week,0-4 hours,Action,Alot,"Books(Non asian), Films and TV series, Anime, Manga",Absolutely negative,2,,,3,No,"Yes, in any way they appear there",
04/01/2021 20:58:39,Male,Heterosexual,16-20,Belgium,Every day,5-8 hours,Strategy,"EU4,Crusader kings 3,",,Mostly positive,5,"holding weapons, clothes, hairs","not natural proportions (huge breasts,butt)",5,,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)","I think sexuality shouldn't be taboo, but developers shouldn't make sexual themes without any reasons, it needs a good reason (realism for example,if you're in a city it's logical to find prostitution)"
04/01/2021 20:59:05,Male,Heterosexual,16-20,Usa,Every day,5-8 hours,Singleplayer RPGs,I'm not sure,"Tabletop RPGs(D&D and similar), Anime, Manga, Japanese(Or similar) Light Novels",Mostly positive,5,Designs that actually makes sense and whether or not it's revealing is unimportant,When the design is taken way to far,6,Yes,"Yes, in any way they appear there",
04/01/2021 21:01:18,Male,Heterosexual,16-20,Netherlands,Several times a week,0-4 hours,FPS,"Minecraft, R6S","Anime, Fashion design & skateboarding",Neutral,3,Diversity so not all characters look alike,Generic character design that make them all look the dame,3,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",No.
04/01/2021 21:02:34,Male,Heterosexual,16-20,United Kingdom,Several times a week,0-4 hours,Action,Minecraft,Films and TV series,Mostly positive,4,Bobs and vagene,No bobs or vagene,6,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 21:05:06,Male,Heterosexual,21-26,Brazil,Several times a week,0-4 hours,Action,"Currently Valorant, used to be Overwatch. All time Minecraft.","Books(Non asian), Tabletop games(just the basic ones), Films and TV series",Mostly positive,4,Uniqueness,Forgettable,5,Yes,"Yes, in any way they appear there",
04/01/2021 21:07:43,Male,Heterosexual,21-26,USA ,Several times a week,0-4 hours,Action,"Breath of the wild, Call of Duty","Books(Non asian), Films and TV series, Anime",Sometimes positive,5,When the designs have purpose and relevance to the world building,Boring color palette ,5,,"Yes, in any way they appear there",
04/01/2021 21:09:23,Male,Heterosexual,Prefer not to answer,Australia,Several times a week,0-4 hours,Strategy,"Persona 5, 13 sentinels, valorant","Books(Non asian), Anime, Manga, Japanese(Or similar) Light Novels",Mostly positive,3,,,4,Maybe,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 21:09:37,band,band,16-20,USA,Once- or twice a week,0-4 hours,band,band,"Books(Non asian), Anime, Manga, Japanese(Or similar) Light Novels, band",Neutral,5,"that li'l gap between thigh-high socks and mini skirts
also, band",piercings ,4,Maybe,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",band
04/01/2021 21:11:15,Male,Heterosexual,16-20,England,Every day,9-12 hours,Action,War Thunder,"Tabletop games(just the basic ones), Anime, Manga",Neutral,4,N/A,"Oversexuality (Skimpy clothing, extreme sexaul organs etc.)",4,Maybe,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)","I understand liking tits n all but why people gotta go ""Battle bikini"" or some shit, y know?"
04/01/2021 21:12:04,Male,Bisexual,21-26,Finland,Every day,5-8 hours,Multiplayer RPGs,World of Warcraft,"Films and TV series, Anime, Manga",Mostly positive,5,Large variety of designs,No variety in designs,5,I don't dislike it,"Yes, in any way they appear there",
04/01/2021 21:13:04,Male,Bisexual,21-26,USA,Once- or twice a week,0-4 hours,Multiplayer RPGs,"World of Warcraft, Skyrim, Rocket League","Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime",Sometimes negative,4,I like to make quirky characters,I don't spend much time on them,3,Yes,"Yes, in any way they appear there","Sexualization is fine, having creepy/pervy characters is very bothersome. "
04/01/2021 21:13:49,Male,Pansexual,16-20,Germany,Several times a week,0-4 hours,Singleplayer RPGs,"Dark Souls, Monster Hunter, Minecraft",Manga,Absolutely positive,5,"Reasonable, 'real' looking characters",things that are so overly sexual they break the immersion ,6,Yes,"Yes, in any way they appear there",
04/01/2021 21:14:59,Female,Heterosexual,16-20,The Netherlands ,Once- or twice a week,0-4 hours,Adventure,Terraria,"Films and TV series, Anime, Manga, Drawing",Mostly negative,2,"Female and male characters equal, sexually and power-wise","Big boobs with weird physics, only women getting sexualized, inaccurate anatomy",2,No,"Yes, in any way they appear there",
04/01/2021 21:16:45,Male,Heterosexual,More than 35,USA,Several times a week,0-4 hours,Singleplayer RPGs,fallout 3,Tabletop RPGs(D&D and similar),Absolutely positive,7,,,7,Yes,"Yes, in any way they appear there",
04/01/2021 21:18:54,Male,Heterosexual,21-26,UK,Several times a week,5-8 hours,Singleplayer RPGs,"Assassin's creed Valhalla, slay the spire, cyberpunk 2077, skyrim","Books(Non asian), Films and TV series, Anime, Manga",Mostly positive,4,,,6,,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 21:20:26,Female,Bisexual,21-26,Germany ,Once- or twice a week,0-4 hours,Strategy,Machinarium ,"Books(Non asian), Films and TV series",Mostly negative,1,Natural moving hair,The proportions are mostly off in any way imaginable ,3,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",Actual (explicit) sex scenes in games are just weird and unnecessary and totally put you out of the game. If I would want to see two animated people fucking I would go to a porn site
04/01/2021 21:20:40,Male,Heterosexual,16-20,Poland,Several times a week,0-4 hours,Singleplayer RPGs,"Hollow Knight, Dark Souls","Books(Non asian), Anime, Manga, Japanese(Or similar) Light Novels, music (listening to; playing keyboard), physics, programming",Sometimes negative,4,historically accurate weapons/armors,,4,Yes,"Yes, in any way they appear there",
04/01/2021 21:22:43,Female,Heterosexual,21-26,USA,Several times a week,5-8 hours,Adventure,Legend of Zelda Wind Waker,"Books(Non asian), Tabletop games(just the basic ones), Films and TV series, Anime",Mostly positive,5,,,5,,"Yes, in any way they appear there",
04/01/2021 21:23:40,Female,Asexual,16-20,Mexico,Once- or twice a week,0-4 hours,Adventure,Prefer not to say.,"Books(Non asian), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Neutral,2,,,4,Yes,"Yes, in any way they appear there",
04/01/2021 21:25:47,Male,Heterosexual,16-20,USA,Every day,5-8 hours,Strategy,Europa Universalis IV,"Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series",Sometimes negative,2,Real looking people,Medically enormous breasts,5,Yes,"Yes, in any way they appear there","I don’t even care if a minority group is shoehorned in. I’m a straight cis white dude, so representation isn’t for me, it’s for actually oppressed people, and they deserve to see themselves in games."
04/01/2021 21:26:33,Female,Heterosexual,27-35,USA,Several times a week,5-8 hours,Singleplayer RPGs,Witcher 3,"Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime",Mostly positive,2,Accuracy and customization ,"Unnecessary sexualization, especially when only female characters are sexualized.  ",6,Yes,"Yes, in any way they appear there",
04/01/2021 21:26:57,Male,Bisexual,16-20,Scotland,Several times a week,0-4 hours,Adventure,"Yakuza 0 slaps, and I enjoyed assassin's creed origins a lot more than some people","Books(Non asian), Films and TV series, Mongolian folk metal",Sometimes negative,3,Hair/beard options,Impractical clothing,4,Maybe,"Yes, in any way they appear there",
04/01/2021 21:28:11,Male,Heterosexual,21-26,USA,Every day,9-12 hours,Singleplayer RPGs,"Naruto: Ultimate Ninja 3, Mass Effect 2, Transistor, Katawa Shoujo, Persona 5 Royal","Books(Non asian), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Neutral,3,,,4,Yes,"Yes, in any way they appear there",
04/01/2021 21:30:43,Male,Heterosexual,More than 35,UK,Once- or twice a week,0-4 hours,Strategy,ICBM,"Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series",Neutral,4,I don't care. ,,3,,"Yes, in any way they appear there",
04/01/2021 21:31:40,Male,Heterosexual,16-20,Canada,Every day,0-4 hours,Action,COD,"Anime, Manga, Japanese(Or similar) Light Novels",Mostly positive,5,,,5,Maybe,"Yes, in any way they appear there",
04/01/2021 21:32:22,Male,Heterosexual,16-20,Brazil,Every day,5-8 hours,Action,Prey,"Books(Non asian), Films and TV series, Anime, Manga",Sometimes positive,4,,,3,Yes,"Yes, in any way they appear there",
04/01/2021 21:34:39,Female,Homosexual,21-26,France,Once- or twice a week,0-4 hours,Singleplayer RPGs,Watch dogs 2,"Books(Non asian), Films and TV series, Anime",Neutral,2,,,3,Maybe,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 21:37:04,Genderfluid,Bisexual,27-35,France,Every day,0-4 hours,Singleplayer RPGs,NieR,"Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga",Neutral,1,,,4,,"Yes, in any way they appear there",
04/01/2021 21:38:29,Male,Heterosexual,More than 35,france,Several times a week,0-4 hours,Action,morrowind,"Tabletop RPGs(D&D and similar), music",Mostly positive,3,,,6,Maybe,"Yes, in any way they appear there",
04/01/2021 21:39:20,Male,Heterosexual,16-20,Canada,Once- or twice a week,0-4 hours,Adventure,"Uncharted series, Jak and Daxter games, Arkham series",Films and TV series,Sometimes positive,5,"In character designs, I usually just like them to be well thought out. Cartoony or more realistic, I have no real preference - I usually prefer intelligent, iconic designs over those that are extremely simple or needlessly complicated. Plus, if Lara Croft is hot Im definitely not gonna complain.",Characters that are overly complex or way too simple.,5,,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)","For LGBT representation, I have no issue with lgbt characters appearing in games, but I'd prefer if they were not simply there for the sake of it and their lgbt-ness is a large point of the story.

I think TLOU2 handled this pretty well - Ellie and Abby's identities extended beyond their sexual identity and the game chose to not amplify their existence within their world and chose not to make the entire narrative about it. To be clear, if the narrative focused more on their identities (which I expected), that would be totally fine but the game made the decision to not really focus on how being trans affected Abby's life and whatnot, so it matches up."
04/01/2021 21:42:06,Male,Heterosexual,21-26,United States ,Several times a week,0-4 hours,Singleplayer RPGs,"Anything valve has put out, the fallout franchise, boneworks","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Manga",Sometimes positive,3,,,3,Maybe,"Yes, in any way they appear there",
04/01/2021 21:43:40,Non-Binary ,Bisexual,16-20,United States ,Every day,5-8 hours,Singleplayer RPGs,Dragon Age,"Tabletop RPGs(D&D and similar), Anime",Mostly negative,1,When their design represents their personality,when their design is overly boobified so more people will show interest,4,Yes,"Yes, in any way they appear there","Sexuality is not a negative thing to put in games, but when it is about objectification and just exists to draw attention for usually men, it's disturbing and lowers the quality of the game."
04/01/2021 21:46:32,Male,Heterosexual,21-26,USA,Every day,0-4 hours,Singleplayer RPGs,"Fallout New Vegas, Red Dead Redemption 2, Modern Warfare 2, and a few more","Books(Non asian), Films and TV series, Manga",Absolutely positive,5,,,6,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 21:47:26,Male,Heterosexual,21-26,USA,Several times a week,0-4 hours,Adventure,Subnautica,"Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Anime",Mostly positive,5,,,5,Yes,"Yes, in any way they appear there",
04/01/2021 21:48:14,Male,Bisexual,16-20,United States,Every day,5-8 hours,Rhythm,"osu!, Taiko No Tatsujin, Overwatch","Tabletop games(just the basic ones), Anime, Manga, Japanese(Or similar) Light Novels",Absolutely positive,3,Cute characters is all I want in a game lol,Unrealistic breast/body sizes,4,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 21:48:56,Male,Bisexual,21-26,canada,Every day,5-8 hours,Strategy,"eu4, civ5, Fallout New vegas, Transistor","Books(Non asian), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Sometimes positive,2,,,5,Yes,"Yes, in any way they appear there",
04/01/2021 21:49:21,Male,Heterosexual,21-26,United states,Several times a week,0-4 hours,Strategy,"R.U.S.E., Civ V, Hades","Books(Non asian), Films and TV series",Neutral,4,Historical Accuracy,"Over focus on non-necessities, adding stuff just to have it.",3,Yes,"Yes, in any way they appear there",
04/01/2021 21:51:34,Male,Heterosexual,21-26,Australia,Once- or twice a week,0-4 hours,Singleplayer RPGs,Morrowind,"Books(Non asian), Guitar, Shooting",Sometimes positive,3,,,6,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 21:52:12,Male,Heterosexual,More than 35,Sweden,Every day,9-12 hours,Multiplayer RPGs,"ff14,Resident evil,Silent Hill,Phasmophobia","Films and TV series, Anime",Mostly positive,5,Mostly if the Armor looks nice ,,5,Maybe,Maybe/Neutral,
04/01/2021 21:53:23,Male,Homosexual,27-35,Venezuela,Several times a week,0-4 hours,Multiplayer RPGs,"Divinity Original Sin 1 and 2, Monster Hunter World, Final Fantasy XIV","Films and TV series, Anime, Manga, Needlecraft-related hobbies",Mostly positive,4,"When a design for a male character works for fanservice, burly male characters, body hair representation","Sexualized underage-looking characters (lolis and shotas), catgirls/catboys.",5,Yes,"Yes, in any way they appear there","I think there's a huge lack of positive LGTB+ representation in videogames in general, the scarce one that's noticeable mostly exists for the sake of straight men (ex: young lesbians). Gay characters are most of the times unrelatable caricatures that go either to the masc or fem extremes of gay men (See: Dragon Quest XI, for a recent example.)"
04/01/2021 21:55:39,Male,Heterosexual,21-26,Latvia,Every day,Quite random actually. Anywhere from zero hours to whole day.,Action,Mass Effect Trilogy,"Tabletop games(just the basic ones), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels, Programming, artificial intelligence and robots.",Neutral,4,Not really.,SJW pandering.,4,Maybe,"No, but can ignore","LGBT has had an absolutely cancerous affect on gaming, threatening anyone who doesn't approve of or pander to it with backlash. Multiple excellent games have been ruined due to the forced addition of LGBT principles. I am completely fine with anyone preaching and supporting whatever they believe in, so long as it doesn't affect what I hold dear to my heart."
04/01/2021 21:56:52,Female,Bisexual,27-35,USA ,Every day,0-4 hours,Adventure,Witcher 3,"Books(Non asian), Films and TV series, Plants, pet fish, painting ",Mostly positive,4,I love designing characters,When a character has no personality to back up the pretty looks or has a typical generic personality (like tsundere) it’s just lazy.,5,Yes,"Yes, in any way they appear there",
04/01/2021 21:57:33,Female,Asexual,27-35,United States,Every day,5-8 hours,Singleplayer RPGs,"The Fallout Series, Final Fantasy VI, Stardew Valley","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series",Neutral,2,Sensible outfits for the environment the character lives in,"Massive cleavage, exposed stomachs on female warrior characters, exposed massive biceps on male characters ",4,Maybe,"Yes, in any way they appear there",
04/01/2021 21:57:37,Male,Asexual,16-20,Estonia,Several times a week,0-4 hours,Strategy,"Civilization VI, Football Manager, Disco Elysium","Tabletop games(just the basic ones), Films and TV series, Music",Mostly negative,1,"Neutral colours, grey, brown, white, black. Characters depicted as calm and cool.",Bright colours.,3,Maybe,"Yes, in any way they appear there",
04/01/2021 22:02:24,Prefer not to say,Prefer not to say,Prefer not to answer,Prefer not to say,Prefer not to answer,Prefer not to say,Prefer not to say,Too personal,Prefer not to answer,Neutral,4,I dont know,I dont know,4,Maybe,Maybe/Neutral,I prefer not to answer
04/01/2021 22:03:43,Male,Bisexual,27-35,UK,Every day,0-4 hours,Strategy,"CK2, Kerbal Space Program, Subnautica, Enter the Gungeon, FTL","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series",Neutral,4,It's literally unimportant,Needless sexualisation,3,Yes,"Yes, in any way they appear there",
04/01/2021 22:05:31,Male,Heterosexual,16-20,USA,Several times a week,0-4 hours,Strategy,Totally Accurate Battlegrounds,"Books(Non asian), Manga, Japanese(Or similar) Light Novels",Sometimes positive,2,"Variety is good, and realism is always appreciated.","Absurd, unrealistic body types (like the freakishly long legs in Genshin).",4,Maybe,"Yes, in any way they appear there","I think that most games which are intentional about sexual content tend to do a better job dealing with it, compared to games which use sexual themes as a marketing strategy"
04/01/2021 22:06:35,Male,Heterosexual,27-35,Australia,Every day,0-4 hours,Singleplayer RPGs,Dr. Mario,"Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga",Neutral,4,"Slightly realistic, achievable bodies. Shouldn't be too exaggerated",Unreasonably thin / muscular / attractive (relative to the character),4,Yes,"fully support unless the character is badly designed or used. eg: if ""being gay"" is their entire personality, that's boring and pretty obvious pandering","I'm fine with sexual content, but it depends on the game / genre, and preferably should not be too overt as to distract from the story"
04/01/2021 22:06:41,Male,Heterosexual,16-20,USA,Every day,5-8 hours,Action,"Totally Accurate Battlegrounds, and Fate/Grand Order","Books(Non asian), Anime, Manga",Neutral,4,A clown wig and  red nose (basically anything funny looking),nothing,4,Maybe,"Yes, in any way they appear there",Yes
04/01/2021 22:07:17,Female,Bisexual,21-26,USA,Several times a week,0-4 hours,Singleplayer RPGs,Subnautica,"Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series",Mostly positive,3,Diversity (basically anything but a balding middle age white military guy),,6,Yes,"Yes, in any way they appear there",
04/01/2021 22:17:33,Female,Bisexual,27-35,murica,Several times a week,0-4 hours,Singleplayer RPGs,none,"Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Neutral,2,coolness,authority,4,Yes,"Yes, in any way they appear there",
04/01/2021 22:17:45,Male,Heterosexual,21-26,United States,Several times a week,0-4 hours,Singleplayer RPGs,Star Wars: Knights of the Old Republic II: The Sith Lords,"Books(Non asian), Tabletop games(just the basic ones), Films and TV series",Mostly positive,5,"Character design (ie. clothing, utility) that makes sense for their environment",Characters who are sexualized for no reason other than for visual appeal,5,Yes,"Yes, in any way they appear there",
04/01/2021 22:18:49,Male,Heterosexual,16-20,Poland,Several times a week,0-4 hours,Strategy,Gothic 2 ,"Books(Non asian), Tabletop games(just the basic ones), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Neutral,3,,,2,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 22:20:16,Male,Bisexual,16-20,America,Several times a week,0-4 hours,Singleplayer RPGs,Devil May Cry 3,"Books(Non asian), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Mostly positive,3,Usually white hair or just different hair styles I like seeing,None in particular,5,Yes,"Yes, in any way they appear there",
04/01/2021 22:25:52,Male,Heterosexual,Younger than 16,USA,Every day,During school they are usually a couple hours (about 3) but not during school I can go up to 12 hours,Strategy,Roblox,"Books(Non asian), Manga, Tennis",Sometimes negative,2,I usually like symmetry and detail in character designs.,I usually dislike undetailed  characters.,4,Maybe,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",Not anything I can think of at the moment of doing this.
04/01/2021 22:29:34,Male,Heterosexual,16-20,USA,Several times a week,5-8 hours,Action,"One of MGSV:TPP, Hollow Knight","Tabletop RPGs(D&D and similar), Anime, Manga, Japanese(Or similar) Light Novels",Neutral,4,If the character design is visually appealing and makes sense for the character (relative to other characters) then I like it.,"If its not the above I don't like it. I usually don't like explicit iconography, though that's most likely a product of it usually being done poorly.",4,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)","It boils down to: ""Does it make sense?"" I also find that if it is not important to the story/characters I really dislike it being pushed. If it's just mentioned, or hinted at, like in Celeste, the idc, its character building for those who care. Its not pushed in your face, so its fine."
04/01/2021 22:34:55,Male,Heterosexual,16-20,USA,Every day,5-8 hours,Multiplayer RPGs,Trails in the Sky,"Books(Non asian), Anime, Manga, Japanese(Or similar) Light Novels",Mostly positive,6,,,6,,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 22:34:58,Male,Homosexual,16-20,Brazil,Several times a week,5-8 hours,Adventure,Minecraft,"Books(Non asian), Films and TV series, Anime, Conlangs",Sometimes positive,3,,Scarily large breasts,4,Yes,I’m not okay otherwise,
04/01/2021 22:35:16,Male,Heterosexual,27-35,Latvia,Every day,0-4 hours,Strategy,Rimworld,"Martial arts, Brewing",Absolutely positive,6,Skin-tight suits,Disproportionate bodies,6,Yes,Absolutely no,Game developers should pander less to media and people that don't play their games
04/01/2021 22:36:16,Male,Heterosexual,27-35,USA,Every day,0-4 hours,Adventure,"Forza, BOTW, CoD MW, Far Cry, GTA","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series",Mostly positive,5,,,6,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 22:38:37,Male,Bisexual,More than 35,Canada,Once- or twice a week,0-4 hours,Simulators,"World of Tanks, COD","Books(Non asian), Films and TV series",Neutral,3,Reality: do not like exaggerated features such as breasts and ass.,exaggerated features such as breasts and ass.,4,Maybe,"Yes, in any way they appear there",
04/01/2021 22:44:16,Male,Heterosexual,21-26,USA,Several times a week,0-4 hours,Strategy,ARMA 3,"Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels",Neutral,5,good visual design,uncanny or out of place designs,4,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)","I'm an artist that do alot of character designs. when it comes to the visual aspect, some degree of exaggerations are always needed. sexualizing character is part of that exaggeration. it helps separate male, female, and gender neutral character from one another at a glance. "
04/01/2021 22:54:35,Male,Heterosexual,27-35,Italy,Several times a week,0-4 hours,Singleplayer RPGs,"Bloodborne, the last of us 2, dark souls","Books(Non asian), Films and TV series, Anime",Mostly positive,2,Credibility in the context of the world they live in,Overly stereotypical characters,6,Yes,"Yes, in any way they appear there",
04/01/2021 22:56:00,AMAB closeted Transfem,Bisexual,21-26,U.S.,Several times a week,0-4 hours,Walking Simulators,"Oxenfree, The Last Of Us (both parts), Firewatch","Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Pro Wrestling",Sometimes negative,2,"Freedom of movement, realistic physical proportions, colorful hair, relatable clothing choices, pockets.",Unrealistically large boobs and butts. Boob armour. Titty windows. Crotch bulges. ,4,Maybe,"Yes, in any way they appear there","I just want fukin people, not people fukin"
04/01/2021 23:00:38,Male,Heterosexual,More than 35,Italy,Once- or twice a week,0-4 hours,Strategy,retrogames from amiga 500,"Books(Non asian), Films and TV series, Anime, Manga",Mostly positive,5,,,4,Yes,"Yes, in any way they appear there",
04/01/2021 23:03:13,Male,Heterosexual,21-26,United Kingdom,Several times a week,5-8 hours,Action,Yakuza 0,,Sometimes positive,3,,,4,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 23:06:44,Female,Asexual,21-26,Romania,Once or twice a month,0-4 hours,Simulators,Life is strange,"Books(Non asian), Films and TV series, Manga",Sometimes negative,3,,,4,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
04/01/2021 23:09:40,Female,Asexual,27-35,USA ,Every day,0-4 hours,Singleplayer RPGs,"Persona series, final fantasy series, legend of zelda series",Books(Non asian),Neutral,3,,,4,Yes,"Yes, in any way they appear there",
04/01/2021 23:11:31,Male,Heterosexual,27-35,Australia,Every day,0-4 hours,Minecraft / SandBox,Minecraft,"Books(Non asian), Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels, Programming / C++",Absolutely negative,1,"Youth, Beauty","slutty, trashy",7,Yes,"No, but can ignore",love / sex in games is fine (i loved playboy mansion!) but random sexyness like in mortal combat is just gross.
04/01/2021 23:18:53,Male,Heterosexual,27-35,USA,Every day,0-4 hours,Singleplayer RPGs,"RPG Maker, Stardew Valley","Books(Non asian), Films and TV series, Anime, Manga",Absolutely negative,1,,,1,No,"Yes, in any way they appear there",
04/01/2021 23:19:35,Male,Heterosexual,21-26,USA,Several times a week,0-4 hours,Action,"R6: Siege, Dark Souls","Books(Non asian), Tabletop RPGs(D&D and similar), Films and TV series",Absolutely positive,3,"Gender equality, sexy armor for men and women – cool armor for men and women. ",When every character looks very similar,7,,"Yes, in any way they appear there",
04/01/2021 23:23:21,Male,Bisexual,21-26,Germany,Once- or twice a week,0-4 hours,Action,"DOOM Eternal, Sekiro, Ori 2, Whatever I last played","Books(Non asian), Tabletop games(just the basic ones), Films and TV series",Absolutely positive,5,,,6,,"Yes, in any way they appear there",
04/01/2021 23:24:36,Male,Bisexual,16-20,Panama,Several times a week,5-8 hours,Singleplayer RPGs,"Hollow Knight, Pokémon Soul Silver, Pokémon Black&White, Mario&Luigi: Bowser's Inside Story","Films and TV series, Anime, Manga, Japanese(Or similar) Light Novels, Different artists' works",Sometimes positive,3,"Cute and kind looking characters, designs that show a strong personality",When the character's only trait is being sexy,5,Yes,"Yes, in any way they appear there","It's upsetting how sexual themes are always portrayed as ""dirty""."
04/01/2021 23:28:04,Female,Bisexual,21-26,Canada,Several times a week,0-4 hours,Singleplayer RPGs,Dragon Age: Origins,"Books(Non asian), Tabletop games(just the basic ones), Tabletop RPGs(D&D and similar), Films and TV series, Anime",Sometimes positive,4,,,5,Yes,"Yes, in any way they appear there",
04/01/2021 23:29:51,Male,Heterosexual,Younger than 16,USA,Every day,5-8 hours,Singleplayer RPGs,"HOI4, Rimworld","Anime, Manga, Japanese(Or similar) Light Novels, History and Science",Mostly positive,2,"When it makes sense why the character is designed that way (fits the game's setting), highly customizable main character and presets to build upon.",When characters don't fit the games setting.,5,Yes,"Yes, but only if explained logically and-or exist for more than one reason(More than just because)",
